keys,fil
dev.boot.label,"DETECTIVE MOSA — grey-box boot"
dev.i18n_smoke.longest_line,"Sa bawat taong nag-share nang hindi muna tiningnan kung totoo ito, sa bawat taong naghintay na lang — doon siya isinilang, at doon din siya pinalakas."
ui.common.back,"Back"
ui.title.wordmark_detective,"DETECTIVE"
ui.title.wordmark_mosa,"MOSA"
ui.title.subtitle,"Check Muna Bago Chismis"
ui.title.new_game,"New Game"
ui.title.continue,"Continue"
ui.title.settings,"Settings"
ui.continue.empty_state,"No saved cases yet. Start a new investigation!"
ui.chapter.eyebrow,"CHAPTER {number}"
ui.chapter.1.title,"Ang Larawan sa Kanto"
ui.chapter.1.gloss,"(The Photo at the Corner)"
ui.chapter.2.title,"Group Chat Gone Wild"
ui.chapter.3.title,"Eleksyon at Katotohanan"
ui.chapter.3.gloss,"(Election and Truth)"
ui.chapter.tap_prompt,"Tap to Continue"
ui.settings.bgm,"Music"
ui.settings.sfx,"Sound Effects"
ui.settings.ui_volume,"UI Sounds"
ui.trust.trusted,"Trusted"
ui.trust.uncertain,"Uncertain"
ui.trust.doubted,"Doubted"
ui.continue.title,"Logged Cases"
ui.continue.slot_label,"Case {number}"
ui.continue.chapter_label,"Chapter {chapter}"
ui.continue.last_played,"Last played: {date}"
ui.continue.slot_empty,"No game here"
ui.continue.empty_headline,"No Cases Yet"
ui.continue.slot_incompatible_title,"Not Supported"
ui.continue.slot_incompatible_body,"This save was made by an older version of the game."
ui.common.confirm,"Confirm"
ui.common.cancel,"Cancel"
ui.phone.group_name,"Masipag Usapan"
ui.pause.title,"Paused"
ui.pause.resume,"Resume"
ui.pause.quit_to_title,"Quit to Title"
ui.confirm.quit_game_body,"Quit the game?"
ui.confirm.quit_to_title_body,"Quit to Title? Unsaved progress will be lost."
dev.asset_audit.eyebrow,"S23 · ASSET AUDIT — DEV BUILD ONLY"
dev.asset_audit.headline,"{final} / {total} FINAL"
dev.asset_audit.subline,"{count} placeholder remaining"
dev.asset_audit.subline_all_final,"All slots final."
dev.asset_audit.legend,"● final · ○ placeholder"
dev.asset_audit.group_placeholder,"PLACEHOLDER"
dev.asset_audit.group_final,"FINAL"
dev.asset_audit.status_final,"Final"
dev.asset_audit.status_placeholder,"Placeholder"
dev.asset_audit.status_missing,"Missing"
dev.asset_audit.empty_manifest,"No assets registered yet."
dev.asset_audit.group_empty_final,"Nothing finalised yet."
dev.asset_audit.group_empty_placeholder,"All slots final."
dev.asset_audit.screens_used,"{count} screen(s)"
dev.asset_audit.release_blocked,"Not available in release builds."
dev.asset_audit.owner_unassigned,"unassigned"
dev.juice_demo.eyebrow,"JUICE DEMO — DEV BUILD ONLY"
dev.juice_demo.release_blocked,"Not available in release builds."
dev.juice_demo.target_label,"TARGET"
dev.juice_demo.pop,"Pop"
dev.juice_demo.shake,"Shake"
dev.juice_demo.hit_stop,"Hit-stop"
dev.juice_demo.burst,"Burst"
dev.juice_demo.reduce_motion_toggle,"Reduce Motion"
dev.juice_demo.reduce_motion_on,"Reduce-motion: ON"
dev.juice_demo.reduce_motion_off,"Reduce-motion: OFF"
